feature,gain,gain_pct,cum_gain_pct
V55,10344.853424072266,0.000832500223440514,0.9446473417371428
V282,10043.583431243896,0.0008082555748153422,0.9454555973119582
id_14,9563.373384475708,0.0007696107574511223,0.9462252080694092
D14,9537.56739616394,0.0007675340251713146,0.9469927420945805
V169,9526.033071517944,0.0007666058024646804,0.9477593478970452
V217,9291.087507247925,0.0007476986003291711,0.9485070464973744
V74,9222.737844467163,0.0007421981734787858,0.9492492446708531
V331,8981.822523117065,0.0007228105562132288,0.9499720552270664
V5,8740.488098144531,0.0007033892116588432,0.9506754444387252
M8,8707.514566421509,0.0007007356726088686,0.9513761801113341
D6,8612.698209762573,0.0006931053433167493,0.9520692854546509
V44,8462.160623550415,0.0006809908580726961,0.9527502763127236
V99,8459.887895584106,0.0006808079606973337,0.9534310842734209
V78,8354.497598648071,0.0006723266954583746,0.9541034109688793
V129,8232.232439041138,0.0006624874286733171,0.9547658983975527
V323,8186.543792724609,0.0006588106430575156,0.9554247090406102
V160,8079.437574386597,0.0006501912893515677,0.9560749003299618
M9,7551.135206222534,0.0006076762510507542,0.9566825765810125
D12,7546.354181289673,0.0006072914989269958,0.9572898680799395
V37,7184.9943923950195,0.0005782111347434699,0.957868079214683
Browser_Max_Amt,7039.329519271851,0.0005664887802110907,0.958434567994894
V266,7017.618635177612,0.0005647416007085289,0.9589993095956025
V19,6920.6521854400635,0.0005569382430616338,0.9595562478386642
V26,6919.694896697998,0.0005568612054218533,0.9601131090440861
V171,6794.082050323486,0.0005467525341447484,0.9606598615782308
C3,6756.36029624939,0.0005437168827528998,0.9612035784609837
V24,6538.874507904053,0.0005262147529526541,0.9617297932139364
V127,6422.591199874878,0.0005168568746001755,0.9622466500885365
id_13,6227.677894592285,0.0005011712613249116,0.9627478213498614
M7,6190.671892166138,0.0004981932099185263,0.9632460145597799
V96,6080.227191925049,0.0004893051924803504,0.9637353197522602
V324,6051.706844329834,0.00048701002262416216,0.9642223297748844
V244,5952.002826690674,0.0004789863596915033,0.9647013161345759
V86,5937.904893875122,0.00047785183107733407,0.9651791679656532
V33,5927.812391281128,0.00047703963874167247,0.9656562076043949
V311,5745.450414657593,0.0004623640913885439,0.9661185716957834
V164,5603.050811767578,0.0004509045088923899,0.9665694762046758
V207,5581.236228942871,0.0004491489842530972,0.9670186251889289
V77,5500.634489059448,0.00044266257369589187,0.9674612877626247
V261,5453.909662246704,0.0004389024016405476,0.9679001901642653
id_38,5370.226900100708,0.00043216804636949567,0.9683323582106348
V66,5248.241708755493,0.00042235130998007384,0.9687547095206148
V152,5247.90539932251,0.0004223242455387882,0.9691770337661536
D9,5212.370111465454,0.00041946454962350516,0.9695964983157771
V309,5181.446710586548,0.0004169759944854183,0.9700134743102625
V291,5176.033603668213,0.0004165403756772741,0.9704300146859398
C7,5042.261493682861,0.0004057750891248547,0.9708357897750647
V333,4910.365879058838,0.0003951608131999959,0.9712309505882647
V326,4880.836200714111,0.0003927844176328141,0.9716237350058975
V262,4778.203647613525,0.0003845250813342748,0.9720082600872317
V124,4692.287986755371,0.00037761103393994284,0.9723858711211717
V271,4594.73264503479,0.00036976028531636023,0.972755631406488
V81,4563.522214889526,0.00036724863154955623,0.9731228800380376
V115,4555.436447143555,0.000366597930840782,0.9734894779688784
V143,4515.357385635376,0.00036337257555607555,0.9738528505444345
V229,4481.921049118042,0.0003606817923733057,0.9742135323368077
id_11,4452.440504074097,0.0003583093507996897,0.9745718416876075
V289,4361.647792816162,0.0003510028236493759,0.9749228445112569
V335,4358.725763320923,0.0003507676738499572,0.9752736121851069
V170,4340.075614929199,0.0003492668065039609,0.9756228789916108
V206,4322.9255294799805,0.000347886656454152,0.975970765648065
DeviceType,4247.791921615601,0.00034184029284019897,0.9763126059409052
V223,4244.011947631836,0.000341536100111981,0.9766541420410172
id_07,4177.111099243164,0.0003361522663398825,0.9769902943073571
V205,4175.545602798462,0.0003360262832943444,0.9773263205906514
V159,4006.707544326782,0.000322439070828302,0.9776487596614797
V220,3910.922197341919,0.00031473076221354005,0.9779634904236932
V336,3780.93949508667,0.0003042704275683828,0.9782677608512617
V293,3775.4144859313965,0.00030382580344779617,0.9785715866547094
V72,3679.5458335876465,0.00029611079084922273,0.9788676974455587
V6,3646.415596008301,0.0002934446409235735,0.9791611420864823
V306,3561.8876667022705,0.00028664227097694036,0.9794477843574593
V225,3553.7143745422363,0.00028598452675664625,0.9797337688842159
V7,3482.3714904785156,0.00028024322096049725,0.9800140121051765
V139,3369.7273712158203,0.00027117820567113237,0.9802851903108476
V23,3343.265106201172,0.00026904865964139606,0.980554238970489
V2,3339.3283157348633,0.00026873184713487817,0.9808229708176238
V256,3229.059862136841,0.0002598580131136846,0.9810828288307375
V4,3184.1895866394043,0.0002562470857427341,0.9813390759164803
V97,3169.7982444763184,0.0002550889450639596,0.9815941648615443
V295,3146.3394165039062,0.0002532011000913821,0.9818473659616357
V47,3139.7885875701904,0.0002526739233081569,0.9821000398849439
V208,3111.4444370269775,0.0002503929328781187,0.982350432817822
id_18,3042.8299655914307,0.0002448711955987461,0.9825953040134208
V10,3014.2516956329346,0.0002425713644507639,0.9828378753778715
V109,3007.089307785034,0.00024199497257363305,0.9830798703504451
V280,3006.6882514953613,0.00024196269764067093,0.9833218330480857
V267,2996.878707885742,0.0002411732763785142,0.9835630063244643
V198,2984.1376876831055,0.00024014794506343988,0.9838031542695277
V210,2971.4543952941895,0.00023912725938381838,0.9840422815289115
V137,2958.1593837738037,0.00023805734571683397,0.9842803388746283
V25,2914.067409515381,0.00023450905199846626,0.9845148479266268
id_04,2893.4622955322266,0.0002328508591472194,0.9847476987857741
D7,2835.3645153045654,0.00022817545070611206,0.9849758742364801
V301,2829.471899032593,0.00022770124346875755,0.9852035754799489
V325,2827.360107421875,0.00022753129741773944,0.9854311067773666
V292,2813.3282146453857,0.00022640208336386624,0.9856575088607304
V279,2778.9622192382812,0.00022363648604872247,0.9858811453467792
V34,2755.4770069122314,0.00022174651780001935,0.9861028918645792
V58,2754.058656692505,0.0002216323763205382,0.9863245242408998
V126,2752.7763061523438,0.0002215291793908718,0.9865460534202907
V251,2727.5848140716553,0.00021950189858501988,0.9867655553188757
V224,2692.70450592041,0.00021669491204405884,0.9869822502309197
V151,2655.8665924072266,0.00021373038756278926,0.9871959806184825
V300,2652.109302520752,0.0002134280203332312,0.9874094086388157
V332,2628.849391937256,0.00021155618320184107,0.9876209648220174
id_21,2602.9389781951904,0.00020947104730426405,0.9878304358693217
V316,2542.306718826294,0.0002045916771089501,0.9880350275464307
V64,2539.4861011505127,0.00020436468840750907,0.9882393922348381
V150,2486.7493991851807,0.0002001207117777878,0.9884395129466159
V135,2447.234910964966,0.0001969407904271461,0.988636453737043
V11,2437.5567893981934,0.0001961619453303104,0.9888326156823734
V148,2395.092414855957,0.0001927446324071122,0.9890253603147805
id_15,2332.761510848999,0.00018772856408928628,0.9892130888788698
V162,2317.242572784424,0.00018647968033262956,0.9893995685592024
V321,2166.901107788086,0.0001743809779082354,0.9895739495371106
V322,2151.4465522766113,0.00017313727532598927,0.9897470868124366
V272,2096.782403945923,0.0001687381877957989,0.9899158250002325
V209,1954.4381771087646,0.00015728306167756402,0.9900731080619101
V288,1950.833023071289,0.0001569929375531611,0.9902301009994632
V188,1881.9720191955566,0.0001514513606198923,0.9903815523600831
V154,1846.9609985351562,0.00014863385501320676,0.9905301862150963
V168,1845.5853996276855,0.00014852315393790982,0.9906787093690341
V252,1844.8322105407715,0.0001484625411812622,0.9908271719102154
V166,1843.4898929595947,0.0001483545184147281,0.9909755264286302
V3,1835.7399883270264,0.0001477308462297513,0.99112325727486
V79,1816.7913055419922,0.00014620595438201022,0.9912694632292419
V234,1765.6838836669922,0.00014209309377526634,0.9914115563230171
V163,1720.2185020446777,0.00013843427534567808,0.9915499905983628
V215,1681.4372997283936,0.00013531336504660405,0.9916853039634094
V8,1651.1842956542969,0.00013287875997111543,0.9918181827233805
V51,1643.937702178955,0.00013229559166122264,0.9919504783150417
V134,1622.0958938598633,0.0001305378760551536,0.9920810161910968
id_08,1618.8089027404785,0.00013027335603450573,0.9922112895471313
V52,1615.6104946136475,0.00013001596471429186,0.9923413055118456
V242,1612.6061916351318,0.00012977419397106632,0.9924710797058167
V145,1606.8949012756348,0.00012931457890398852,0.9926003942847207
V172,1588.927402496338,0.0001278686476630852,0.9927282629323838
V247,1587.3699951171875,0.0001277433155836462,0.9928560062479674
V274,1557.922077178955,0.00012537349967050917,0.9929813797476379
id_32,1546.58256149292,0.00012446095417997913,0.9931058407018178
V286,1545.7564163208008,0.0001243944702954629,0.9932302351721133
V246,1544.6986122131348,0.000124309343699668,0.993354544515813
V73,1525.2351112365723,0.0001227430219503218,0.9934772875377633
V245,1508.755989074707,0.00012141686755069225,0.9935987044053141
V270,1478.8760871887207,0.00011901228780685744,0.9937177166931209
V319,1446.454719543457,0.00011640318406198252,0.993834119877183
V184,1392.4473114013672,0.00011205694758065074,0.9939461768247636
V216,1389.6469993591309,0.0001118315929714264,0.9940580084177351
id_25,1371.6405982971191,0.00011038253107630065,0.9941683909488114
V40,1366.8146018981934,0.00010999415988187852,0.9942783851086933
V231,1356.9994163513184,0.0001092042845858333,0.9943875893932791
id_26,1340.725196838379,0.00010789461969011661,0.9944954840129692
V248,1318.2625846862793,0.00010608694500695814,0.9946015709579761
V140,1255.2143936157227,0.00010101315314137009,0.9947025841111174
V268,1253.2787895202637,0.00010085738574903447,0.9948034414968665
V290,1214.116403579712,9.770579976618167e-05,0.9949011472966327
V182,1189.6459980010986,9.573654826722168e-05,0.9949968838448999
V264,1160.8668060302734,9.342054795634265e-05,0.9950903043928563
id_10,1114.012201309204,8.964993204710803e-05,0.9951799543249034
V157,1113.5232276916504,8.961058198295702e-05,0.9952695649068863
V98,1105.8682250976562,8.89945470225091e-05,0.9953585594539088
V195,1097.7890014648438,8.834437295006733e-05,0.9954469038268589
V60,1084.2243194580078,8.72527575990646e-05,0.9955341565844579
V287,1081.5369129180908,8.703648903988422e-05,0.9956211930734977
V190,1068.7620658874512,8.600843551689487e-05,0.9957072015090146
V63,1036.0591945648193,8.337667781408537e-05,0.9957905781868287
V221,1026.1437950134277,8.257873781400502e-05,0.9958731569246427
V155,1021.9397010803223,8.224041410895077e-05,0.9959553973387517
V203,990.3839931488037,7.970097417424056e-05,0.9960350983129259
V297,957.4462203979492,7.705031282113605e-05,0.996112148625747
V178,939.7651119232178,7.562742878861434e-05,0.9961877760545357
V338,934.1891098022461,7.517870101826123e-05,0.9962629547555539
V265,894.799524307251,7.200883119202408e-05,0.996334963586746
V112,888.1422004699707,7.147308425053963e-05,0.9964064366709966
V299,863.300422668457,6.947394663856574e-05,0.9964759106176352
V18,859.5043258666992,6.916845642946222e-05,0.9965450790740646
V95,842.5998115539551,6.780806867280583e-05,0.9966128871427374
V46,828.6273994445801,6.668364131494784e-05,0.9966795707840523
V212,801.7393016815186,6.45198264711772e-05,0.9967440906105235
V111,800.6590003967285,6.443288941908925e-05,0.9968085234999425
V219,768.7891006469727,6.186816495417225e-05,0.9968703916648967
V218,757.0697975158691,6.0925056137134014e-05,0.9969313167210337
V200,743.9312057495117,5.986773032179341e-05,0.9969911844513555
V253,742.74338722229,5.977214083890932e-05,0.9970509565921943
V132,738.0928936004639,5.9397893198989164e-05,0.9971103544853933
V50,734.510591506958,5.910960808067754e-05,0.997169464093474
V233,724.1618041992188,5.827679127865466e-05,0.9972277408847526
V39,721.0884113311768,5.802946053896418e-05,0.9972857703452916
V194,709.817985534668,5.712247504489907e-05,0.9973428928203365
id_23,696.7308006286621,5.606928618742289e-05,0.9973989621065239
V339,692.1441993713379,5.570018027407377e-05,0.997454662286798
V278,673.8009033203125,5.422400681514594e-05,0.9975088862936131
V85,669.1751842498779,5.3851752902804484e-05,0.997562738046516
